iter	Passed	Remaining
0	1	316
1	17	2143
2	18	1502
3	147	9055
4	273	13414
5	400	16269
6	532	18475
7	662	20032
8	670	17957
9	671	16117
10	703	15291
11	833	16534
12	959	17497
13	991	16709
14	1120	17547
15	1122	16416
16	1130	15499
17	1262	16266
18	1264	15372
19	1272	14633
20	1403	15306
21	1536	15921
22	1544	15243
23	1674	15764
24	1674	15072
25	1678	14463
26	1808	14940
27	1935	15348
28	2065	15742
29	2191	16073
30	2192	15491
31	2329	15867
32	2458	16166
33	2458	15621
34	2466	15152
35	2597	15440
36	2729	15712
37	2861	15966
38	2991	16182
39	3049	16011
40	3180	16215
41	3311	16402
42	3440	16561
43	3570	16714
44	3586	16338
45	3714	16472
46	3714	16044
47	3841	16167
48	3971	16290
49	4101	16405
50	4101	16004
51	4231	16113
52	4356	16192
53	4482	16269
54	4614	16360
55	4744	16435
56	4805	16270
57	4868	16116
58	5000	16187
59	5134	16259
60	5281	16365
61	5418	16429
62	5558	16498
63	5690	16538
64	5823	16575
65	5952	16596
66	6082	16613
67	6206	16612
68	6211	16293
69	6340	16304
70	6344	15996
71	6468	15991
72	6596	15994
73	6597	15690
74	6728	15700
75	6859	15703
76	7006	15741
77	7133	15731
78	7261	15718
79	7392	15708
80	7519	15688
81	7582	15534
82	7712	15518
83	7842	15497
84	7972	15475
85	8104	15454
86	8234	15427
87	8235	15160
88	8360	15123
89	8489	15093
90	8616	15055
91	8744	15018
92	8872	14977
93	8903	14776
94	8966	14629
95	8967	14384
96	9100	14354
97	9222	14304
98	9355	14269
99	9479	14218
100	9607	14173
101	9734	14124
102	9862	14075
103	9991	14027
104	10117	13972
105	10248	13922
106	10380	13872
107	10510	13819
108	10635	13758
109	10766	13702
110	10891	13639
111	11017	13575
112	11150	13518
113	11279	13456
114	11406	13390
115	11533	13322
116	11657	13251
117	11719	13109
118	11847	13042
119	11848	12835
120	11975	12767
121	12102	12697
122	12233	12630
123	12359	12559
124	12364	12364
125	12492	12294
126	12621	12224
127	12751	12153
128	12878	12080
129	13009	12008
130	13134	11931
131	13195	11795
132	13327	11724
133	13357	11562
134	13487	11489
135	13614	11412
136	13745	11337
137	13873	11260
138	13999	11179
139	14128	11101
140	14129	10922
141	14137	10752
142	14264	10673
143	14394	10596
144	14520	10514
145	14646	10432
146	14776	10353
147	14900	10269
148	15032	10189
149	15163	10108
150	15292	10025
151	15352	9898
152	15483	9816
153	15607	9729
154	15737	9645
155	15745	9487
156	15872	9402
157	16003	9318
158	16133	9233
159	16259	9146
160	16393	9061
161	16516	8972
162	16649	8886
163	16780	8799
164	16907	8709
165	16915	8559
166	17045	8471
167	17174	8382
168	17305	8294
169	17434	8204
170	17564	8114
171	17686	8020
172	17816	7929
173	17946	7838
174	18077	7747
175	18085	7603
176	18209	7510
177	18337	7417
178	18401	7298
179	18527	7205
180	18657	7112
181	18787	7019
182	18913	6924
183	19044	6831
184	19171	6735
185	19300	6641
186	19431	6546
187	19559	6450
188	19691	6355
189	19818	6258
190	19947	6161
191	20079	6065
192	20211	5969
193	20338	5870
194	20469	5773
195	20594	5673
196	20718	5573
197	20849	5475
198	20979	5376
199	21109	5277
200	21243	5178
201	21374	5078
202	21499	4977
203	21627	4876
204	21756	4775
205	21888	4675
206	22021	4574
207	22152	4473
208	22279	4370
209	22402	4267
210	22530	4164
211	22663	4062
212	22793	3959
213	22921	3856
214	23049	3752
215	23181	3648
216	23304	3544
217	23439	3440
218	23571	3336
219	23703	3232
220	23833	3127
221	23965	3022
222	24099	2917
223	24231	2812
224	24369	2707
225	24499	2601
226	24637	2496
227	24777	2390
228	24910	2284
229	25043	2177
230	25171	2070
231	25301	1963
232	25433	1855
233	25566	1748
234	25699	1640
235	25831	1532
236	25964	1424
237	26093	1315
238	26098	1201
239	26229	1092
240	26358	984
241	26493	875
242	26617	766
243	26744	657
244	26871	548
245	27000	439
246	27127	329
247	27260	219
248	27322	109
249	27456	0
